Name,Link
"Babbitt, Platt D.",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=32727
"Babcock, William Perkins",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=28284
"Babel, Pierre-Edme",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=12023
"Baburen, Dirck van",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=22774
"Bac, Ferdinand",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=19361
Bacchiacca,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=131
"Bach, Ferdinand Sigismond",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=19361
"Bach, Julie",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=25979
"Bacharach, Herman Ilfeld",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=34211
"Bachelard, Gaston",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=28722
"Bacher, Frank K.",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=21905
"Bacher, Otto Henry",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=6440
Bachiacca,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=131
Baciccia,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=5671
Baciccio,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=5671
"Backhuysen, Ludolf",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=5957
"Bacler d'Albe, Louis-Albert-Guillain, baron",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=2951
"Bacon, Francis",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=132
"Bacon, Peggy",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=2952
"Badalocchio, Sisto",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=22775
"Baden, Aiko",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=19608
"Baden, Ken",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=19607
"Baden, Stanley",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=25703
"Bader, Herman",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=7222
"Badger, Frances S.",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=33143
"Badger, Joseph",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=133
"Badii, Libero",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=6579
"Badin, Ferdinand",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=7223
"Baer, George",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=181
"Baer, Jo",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=10154
"Baes, Martin",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=6169
"Bagelaar, Ernst Willem Jan",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=18524
"Baggs, Lloyd",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=14925
"Baglione, Giovanni",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=5866
"Bagno, Cesare da",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=2064
"Bailey, Evelyn",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=7224
"Bailey, Oscar",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=6512
"Bailey, William",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=16044
"Baillie, Captain",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=2953
"Baillie, William",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=2953
"Baillieul L'Aine, François",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=11456
"Bailliu, Pieter de",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=2955
"Bailliu, Pieter de the Elder",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=2955
"Baj, Enrico",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=227
"Baker, Daniel Mrs.",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=5718
"Baker, Lamar",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=33144
"Baker, Lynn",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=10112
"Baker, Oliver Mozart",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=34614
"Baker, Tim",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=23508
"Baker, Timothy",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=23508
"Baker, William Robert",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=16461
"Bakhuysen, Ludolf",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=5957
"Bakker, Gerhard H.",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=35057
"Bakst, Leon",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=2351
"Bakst, Leon Nicolaevitch",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=2351
"Bakst, Lev Samoilovich",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=2351
"Baksteen, Dirk",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=35032
"Balakjian, Mark",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=6782
